card_no,address,short_name,parent,batch_no,province,city,area
661521,新疆生产建设兵团农五师91团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 91团
661600,66,新疆生产建设兵团五家渠市,660000,1,新疆,新疆,
661612,新疆生产建设兵团农六师102团,新疆生产建设兵团农六师,660000,1,新疆,新疆, 102团
661613,新疆生产建设兵团农六师103团,新疆生产建设兵团农六师,660000,1,新疆,新疆, 103团
661615,新疆生产建设兵团农六师105团,新疆生产建设兵团农六师,660000,1,新疆,新疆, 105团
661616,新疆生产建设兵团农六师106团,新疆生产建设兵团农六师,660000,1,新疆,新疆, 106团
661622,新疆生产建设兵团农六师共青团农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 共青团农场
661623,新疆生产建设兵团农六师芳草湖农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 芳草湖农场
661624,新疆生产建设兵团农六师新湖农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 新湖农场
661625,新疆生产建设兵团农六师奇台农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 奇台农场
661626,新疆生产建设兵团北塔山农场,新疆生产建设兵团北塔山农场,660000,1,新疆,新疆, 
661627,新疆生产建设兵团农六师土墩子农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 土墩子农场
661628,新疆生产建设兵团农六师六运湖农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 六运湖农场
661629,新疆生产建设兵团农六师红旗中心团场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 红旗中心团场
661630,新疆生产建设兵团农六师军户农场,新疆生产建设兵团农六师,660000,1,新疆,新疆, 军户农场
661700,新疆生产建设兵团农七师,新疆生产建设兵团农七师,660000,1,新疆,新疆, 
661713,新疆生产建设兵团农七师123团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 123团
661714,新疆生产建设兵团农七师124团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 124团
661715,新疆生产建设兵团农七师125团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 125团
661716,新疆生产建设兵团农七师126团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 126团
661718,新疆生产建设兵团农七师128团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 128团
661719,新疆生产建设兵团农七师129团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 129团
661720,新疆生产建设兵团农七师130团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 130团
661721,新疆生产建设兵团农七师131团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 131团
661727,新疆生产建设兵团农七师137团,新疆生产建设兵团农七师,660000,1,新疆,新疆, 137团
661800,新疆生产建设兵团石河子,新疆生产建设兵团石河子,660000,1,新疆,新疆, 
661811,新疆生产建设兵团石河子121团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 121团
661823,新疆生产建设兵团石河子133团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 133团
661824,新疆生产建设兵团石河子134团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 134团
661826,新疆生产建设兵团石河子136团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 136团
661831,新疆生产建设兵团石河子141团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 141团
661832,新疆生产建设兵团石河子142团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 142团
661833,新疆生产建设兵团石河子143团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 143团
661834,新疆生产建设兵团石河子144团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 144团
661835,新疆生产建设兵团石河子市,新疆生产建设兵团石河子市,660000,1,新疆,新疆, 
661837,新疆生产建设兵团石河子147团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 147团
661838,新疆生产建设兵团石河子148团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 148团
661839,新疆生产建设兵团石河子149团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 149团
661840,新疆生产建设兵团石河子150团,新疆生产建设兵团石河子,660000,1,新疆,新疆, 150团
661842,新疆生产建设兵团石河子152团6705,新疆生产建设兵团石河子,660000,1,新疆,新疆, 152团
661911,新疆生产建设兵团农九师161团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 161团
661913,新疆生产建设兵团农九师163团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 163团
661914,新疆生产建设兵团农九师164团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 164团
661915,新疆生产建设兵团农九师165团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 165团
661916,新疆生产建设兵团农九师166团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 166团
661917,新疆生产建设兵团农九师167团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 167团
661918,新疆生产建设兵团农九师168团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 168团
661920,新疆生产建设兵团农九师170团,新疆生产建设兵团农九师,660000,1,新疆,新疆, 170团
661921,新疆生产建设兵团农九师团结农场,新疆生产建设兵团农九师,660000,1,新疆,新疆, 团结农场
662000,新疆生产建设兵团农十师,新疆生产建设兵团农十师,660000,1,新疆,新疆, 
662011,新疆生产建设兵团农十师181团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 181团
662012,新疆生产建设兵团农十师182团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 182团
662013,新疆生产建设兵团农十师183团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 183团
662014,新疆生产建设兵团农十师184团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 184团
662015,新疆生产建设兵团农十师185团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 185团
662016,新疆生产建设兵团农十师186团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 186团
662017,新疆生产建设兵团农十师187团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 187团
662018,新疆生产建设兵团农十师188团,新疆生产建设兵团农十师,660000,1,新疆,新疆, 188团
662022,新疆生产建设兵团农十师煤矿,新疆生产建设兵团农十师,660000,1,新疆,新疆, 煤矿
662100,新疆生产建设兵团建工师,新疆生产建设兵团建工师,660000,1,新疆,新疆, 
662112,新疆生产建设兵团建工师二团,新疆生产建设兵团建工师,660000,1,新疆,新疆, 二团
662114,新疆生产建设兵团建工师工四团,新疆生产建设兵团建工师,660000,1,新疆,新疆, 工四团
